A1BG	A1bg
LY86	Ly86
LY9	Ly9
LY96	Ly96
LYAR	Lyar
LYG1	Lyg1
LYG2	Lyg2
LYL1	Lyl1
LYN	Lyn
LYPD1	Lypd1
LYPD2	Lypd2
LYPD3	Lypd3
LYPD4	Lypd4
LYPD5	Lypd5
LYPD6	Lypd6
LYPD6B	Lypd6b
LYPLA1	Lypla1
LYPLA2	Lypla2
LYPLAL1	Lyplal1
LYRM1	Lyrm1
LYRM4	Lyrm4
LYRM5	Lyrm5
LYRM7	Lyrm7
LYSMD2	Lysmd2
LYSMD4	Lysmd4
LYST	Lyst
LYVE1	Lyve1
LYZ	9530003J23Rik
LYZL4	Lyzl4
LYZL6	Lyzl6
LZIC	Lzic
LZTFL1	Lztfl1
LZTR1	Lztr1
LZTS1	Lzts1
LZTS2	Lzts2
M6PR	M6pr
MAB21L2	Mab21l2
MACC1	Macc1
MACF1	Macf1
MACROD1	Macrod1
MAD1L1	Mad1l1
MAD2L1BP	Mad2l1bp
MAD2L2	Mad2l2
MADCAM1	Madcam1
MADD	Madd
MAEA	Maea
MAEL	Mael
MAF	Maf
MAF1	Maf1
MAFA	Mafa
MAFB	Mafb
MAFF	Maff
MAFG	Mafg
MAFK	Mafk
MAG	Mag
MAGEB16	Mageb16
MAGEB18	Mageb18
MAGED1	Maged1
MAGED2	Maged2
MAGEE1	Magee1
MAGEE2	Magee2
MAGEH1	Mageh1
MAGEL2	Magel2
MAGI1	Magi1
MAGI2	Magi2
MAGI3	Magi3
MAGIX	Magix
MAGOH	Magoh
MAGT1	Magt1
MAK	Mak
MAK16	Mak16
MAL	Mal
MALL	Mall
MALT1	Malt1
MAMDC2	Mamdc2
MAMDC4	Mamdc4
MAML1	Maml1
MAML2	Maml2
MAML3	Maml3
MAMLD1	Mamld1
MAMSTR	Mamstr
MAN1A1	Man1a
MAN1A2	Man1a2
MAN1B1	Man1b1
MAN1C1	Man1c1
MAN2A1	Man2a1
MAN2A2	Man2a2
MAN2B1	Man2b1
MAN2B2	Man2b2
MAN2C1	Man2c1
MANBA	Manba
MANBAL	Manbal
MANEA	Manea
MANEAL	Maneal
MANSC1	Mansc1
MAOA	Maoa
MAOB	Maob
MAP1A	Mtap1a
MAP1B	Mtap1b
MAP1S	Mtap1s
MAP2	Mtap2
MAP2K1	Map2k1
MAP2K2	Map2k2
MAP2K3	Map2k3
MAP2K4	Map2k4
MAP2K5	Map2k5
MAP2K6	Map2k6
MAP2K7	Map2k7
MAP3K1	Map3k1
MAP3K10	Map3k10
MAP3K11	Map3k11
MAP3K12	Map3k12
MAP3K13	Map3k13
MAP3K14	Map3k14
MAP3K15	Map3k15
MAP3K2	Map3k2
MAP3K3	Map3k3
MAP3K4	Map3k4
MAP3K5	Map3k5
MAP3K6	Map3k6
MAP3K7	Map3k7
MAP3K8	Map3k8
MAP3K9	Map3k9
MAP4	Mtap4
MAP4K1	Map4k1
MAP4K2	Map4k2
MAP4K3	Map4k3
MAP4K4	Map4k4
MAP4K5	Map4k5
MAP6	Mtap6
MAP6D1	Map6d1
MAP7	Mtap7
MAP7D1	Mtap7d1
MAP7D2	Mtap7d2
MAP7D3	Mtap7d3
MAP9	Mtap9
MAPK1	Mapk1
MAPK10	Mapk10
MAPK11	Mapk11
MAPK12	Mapk12
MAPK13	Mapk13
MAPK14	Mapk14
MAPK15	Mapk15
MAPK3	Mapk3
MAPK4	Mapk4
MAPK6	Mapk6
MAPK7	Mapk7
MAPK8	Mapk8
MAPK8IP1	Mapk8ip1
MAPK8IP2	Mapk8ip2
MAPK8IP3	Mapk8ip3
MAPK9	Mapk9
MAPKAP1	Mapkap1
MAPKAPK2	Mapkapk2
MAPKAPK3	Mapkapk3
MAPKAPK5	Mapkapk5
MAPKBP1	Mapkbp1
MAPRE1	Mapre1
MAPRE2	Mapre2
MAPRE3	Mapre3
MAPT	Mapt
MARCH1	March1
MARCH10	March10
MARCH11	March11
MARCH2	March2
MARCH3	March3
MARCH4	March4
MARCH5	March5
MARCH6	March6
MARCH7	March7
MARCH8	March8
MARCH9	March9
MARCKS	Marcks
MARCKSL1	Marcksl1
MARCO	Marco
MARK1	Mark1
MARK2	Mark2
MARK3	Mark3
MARK4	Mark4
MARS	Mars
MARS2	Mars2
MARVELD2	Marveld2
MARVELD3	Marveld3
MAS1	Mas1
MASP1	Masp1
MASP2	Masp2
MAST1	Mast1
MAST2	Mast2
MAST3	Mast3
MAST4	Mast4
MASTL	Mastl
MAT1A	Mat1a
MAT2A	Mat2a
MAT2B	Mat2b
MATK	Matk
MATN1	Matn1
MATN2	Matn2
MATN3	Matn3
MATN4	Matn4
MATR3	Matr3
MAVS	Mavs
MAX	Max
MAZ	Maz
MB	Mb
MBD1	Mbd1
MBD2	Mbd2
MBD3	Mbd3
MBD3L1	Mbd3l1
MBD4	Mbd4
MBD5	Mbd5
MBD6	Mbd6
MBIP	Mbip
MBLAC1	Mblac1
MBNL1	Mbnl1
MBNL2	Mbnl2
MBNL3	Mbnl3
MBOAT1	Mboat1
MBOAT2	Mboat2
MBOAT4	Mboat4
MBOAT7	Mboat7
MBP	Mbp
MBTD1	Mbtd1
MBTPS1	Mbtps1
MBTPS2	Mbtps2
MC2R	Mc2r
MC3R	Mc3r
MC4R	Mc4r
MC5R	Mc5r
MCAM	Mcam
MCAT	Mcat
MCC	Mcc
MCCC1	Mccc1
MCCC2	Mccc2
MCEE	Mcee
MCF2	Mcf2
MCF2L	Mcf2l
MCFD2	Mcfd2
MCHR1	Mchr1
MCL1	Mcl1
MCM10	Mcm10
MCM2	Mcm2
MCM3	Mcm3
MCM3AP	Mcm3ap
MCM4	Mcm4
MCM5	Mcm5
MCM6	Mcm6
MCM7	Mcm7
MCM8	Mcm8
MCM9	Mcm9
MCOLN1	Mcoln1
MCOLN2	Mcoln2
MCOLN3	Mcoln3
MCPH1	Mcph1
MCRS1	Mcrs1
MCTP1	Mctp1
MCTP2	Mctp2
MDC1	Mdc1
MDFI	Mdfi
MDGA1	Mdga1
MDGA2	Mdga2
MDH1	Mdh1
MDH1B	Mdh1b
MDH2	Mdh2
MDK	Mdk
MDM1	Mdm1
MDM2	Mdm2
MDM4	Mdm4
MDN1	Mdn1
ME1	Me1
ME2	Me2
ME3	Me3
MEA1	Mea1
MEAF6	Meaf6
MECOM	Mecom
MECP2	Mecp2
MECR	Mecr
MED1	Med1
MED10	Med10
MED11	Med11
MED12	Med12
MED12L	Med12l
MED13	Med13
MED13L	Med13l
MED14	Med14
MED15	Med15
MED16	Med16
MED17	Med17
MED18	Med18
MED19	Med19
MED20	Med20
MED21	Med21
MED22	Med22
MED23	Med23
MED24	Med24
MED25	Med25
MED26	Med26
MED27	Med27
MED28	Med28
MED29	Med29
MED30	Med30
MED31	Med31
MED4	Med4
MED6	Med6
MED7	Med7
MED8	Med8
MED9	Med9
MEF2A	Mef2a
MEF2B	Mef2b
MEF2C	Mef2c
MEF2D	Mef2d
MEFV	Mefv
MEGF10	Megf10
MEGF11	Megf11
MEGF6	Megf6
MEGF8	Megf8
MEGF9	Megf9
MEI1	Mei1
MEIG1	Meig1
MEIS1	Meis1
MEIS2	Meis2
MEIS3	Meis3
MELK	Melk
MEMO1	Memo1
MEN1	Men1
MEOX1	Meox1
MEOX2	Meox2
MEP1A	Mep1a
MEP1B	Mep1b
MEPCE	Mepce
MEPE	Mepe
MERTK	Mertk
MESDC1	Mesdc1
MESDC2	Mesdc2
MESP1	Mesp1
MESP2	Mesp2
MEST	Mest
MET	Met
METAP1	Metap1
METAP1D	Metap1d
METAP2	Metap2
METRN	Metrn
METRNL	Metrnl
METTL1	Mettl1
METTL10	Mettl10
METTL11B	Mettl11b
METTL13	Mettl13
METTL14	Mettl14
METTL3	Mettl3
METTL4	Mettl4
METTL5	Mettl5
METTL6	Mettl6
METTL7B	Mettl7b
METTL8	Mettl8
METTL9	Mettl9
MEX3A	Mex3a
MEX3B	Mex3b
MEX3C	Mex3c
MEX3D	Mex3d
MFAP2	Mfap2
MFAP3	Mfap3
MFAP3L	Mfap3l
MFAP4	Mfap4
MFAP5	Mfap5
MFF	Mff
MFGE8	Mfge8
MFHAS1	Mfhas1
MFI2	Mfi2
MFN1	Mfn1
MFN2	Mfn2
MFNG	Mfng
MFRP	Mfrp
MFSD1	Mfsd1
MFSD10	Mfsd10
MFSD11	Mfsd11
MFSD2A	Mfsd2a
MFSD2B	Mfsd2b
MFSD3	Mfsd3
MFSD4	Mfsd4
MFSD5	Mfsd5
MFSD6	Mfsd6
MFSD6L	Mfsd6l
MFSD7	Mfsd7a
MFSD8	Mfsd8
MFSD9	Mfsd9
MGA	Mga
MGAM	Mgam
MGAT1	Mgat1
MGAT2	Mgat2
MGAT3	Mgat3
MGAT4A	Mgat4a
MGAT4B	Mgat4b
MGAT4C	Mgat4c
MGAT5	Mgat5
MGAT5B	Mgat5b
MGEA5	Mgea5
MGLL	Mgll
MGMT	Mgmt
MGP	Mgp
MGRN1	Mgrn1
MGST1	Mgst1
MGST2	Mgst2
MGST3	Mgst3
MIA	Mia1
MIA2	Mia2
MIA3	Mia3
MIB1	Mib1
MIB2	Mib2
MICAL1	Mical1
MICAL2	Mical2
MICAL3	Mical3
MICALCL	Micalcl
MICALL1	Micall1
MICALL2	Micall2
MID1	Mid1
MID1IP1	Mid1ip1
MID2	Mid2
MIDN	Midn
MIER1	Mier1
MIER2	Mier2
MIER3	Mier3
MIF4GD	Mif4gd
MIIP	Miip
MINA	Mina
MINK1	Mink1
MINPP1	Minpp1
MIOS	Mios
MIOX	Miox
MIP	Mip
MIPEP	Mipep
MIPOL1	Mipol1
MIR3187	BC005764
MIS12	Mis12
MITD1	Mitd1
MITF	Mitf
MIXL1	Mixl1
MKI67	Mki67
MKI67IP	Mki67ip
MKKS	Mkks
MKL1	Mkl1
MKL2	Mkl2
MKLN1	Mkln1
MKNK1	Mknk1
MKNK2	Mknk2
MKRN1	Mkrn1
MKRN2	Mkrn2
MKRN3	Mkrn3
MKS1	Mks1
MKX	Mkx
MLANA	Mlana
MLC1	Mlc1
MLEC	Mlec
MLF1	Mlf1
MLF1IP	Mlf1ip
MLF2	Mlf2
MLH1	Mlh1
MLH3	Mlh3
MLKL	Mlkl
MLLT1	Mllt1
MLLT10	Mllt10
MLLT11	Mllt11
MLLT3	Mllt3
MLLT4	Mllt4
MLLT6	Mllt6
MLPH	Mlph
MLST8	Mlst8
MLX	Mlx
MLXIP	Mlxip
MLXIPL	Mlxipl
MLYCD	Mlycd
MMAA	Mmaa
MMAB	Mmab
MMACHC	Mmachc
MMADHC	Mmadhc
MMD	Mmd
MMD2	Mmd2
MME	Mme
MMEL1	Mmel1
MMP10	Mmp10
MMP11	Mmp11
MMP13	Mmp13
MMP14	Mmp14
MMP15	Mmp15
MMP16	Mmp16
MMP17	Mmp17
MMP19	Mmp19
MMP2	Mmp2
MMP20	Mmp20
MMP21	Mmp21
MMP23B	Mmp23
MMP24	Mmp24
MMP25	Mmp25
MMP27	Mmp27
MMP3	Mmp3
MMP7	Mmp7
MMP8	Mmp8
MMP9	Mmp9
MMRN1	Mmrn1
MMRN2	Mmrn2
MMS19	Mms19
MMS22L	F730047E07Rik
MN1	Mn1
MNAT1	Mnat1
MND1	Mnd1
MNS1	Mns1
MNT	Mnt
MNX1	Mnx1
MOBP	Mobp
MOCOS	Mocos
MOCS1	Mocs1
MOCS2	Mocs2
MOCS3	Mocs3
MOG	Mog
MOGAT1	Mogat1
MOGS	Mogs
MON1A	Mon1a
MON1B	Mon1b
MON2	Mon2
MORC1	Morc1
MORC2	Morc2a
MORC3	Morc3
MORC4	Morc4
MORF4L1	Morf4l1
MORF4L2	Morf4l2
MORN1	Morn1
MORN2	Morn2
MORN3	Morn3
MORN4	Morn4
MORN5	Morn5
MOS	Mos
MOSPD1	Mospd1
MOSPD2	Mospd2
MOSPD3	Mospd3
MOV10	Mov10
MOV10L1	Mov10l1
MOXD1	Moxd1
MPDU1	Mpdu1
MPDZ	Mpdz
MPG	Mpg
MPHOSPH6	Mphosph6
MPHOSPH8	Mphosph8
MPHOSPH9	Mphosph9
MPI	Mpi
MPL	Mpl
MPND	Mpnd
MPO	Mpo
MPP1	Mpp1
MPP2	Mpp2
MPP3	Mpp3
MPP4	Mpp4
MPP5	Mpp5
MPP6	Mpp6
MPP7	Mpp7
MPPE1	Mppe1
MPPED1	Mpped1
MPPED2	Mpped2
MPRIP	Mprip
MPST	Mpst
MPV17	Mpv17
MPV17L	Mpv17l
MPZ	Mpz
MPZL1	Mpzl1
MPZL2	Mpzl2
MPZL3	Mpzl3
MR1	Mr1
MRAP	Mrap
MRAP2	Mrap2
MRAS	Mras
MRC2	Mrc2
MRE11A	Mre11a
MREG	Mreg
MRGPRD	Mrgprd
MRGPRE	Mrgpre
MRGPRF	Mrgprf
MRGPRG	Mrgprg
MRI1	Mri1
MRM1	Mrm1
MRO	Mro
MRP63	Mrp63
MRPL1	Mrpl1
MRPL10	Mrpl10
MRPL11	Mrpl11
MRPL12	Mrpl12
MRPL13	Mrpl13
MRPL14	Mrpl14
MRPL15	Mrpl15
MRPL16	Mrpl16
MRPL17	Mrpl17
MRPL18	Mrpl18
MRPL19	Mrpl19
MRPL2	Mrpl2
MRPL20	Mrpl20
MRPL21	Mrpl21
MRPL22	Mrpl22
MRPL24	Mrpl24
MRPL27	Mrpl27
MRPL28	Mrpl28
MRPL3	Mrpl3
MRPL33	Mrpl33
MRPL34	Mrpl34
MRPL35	Mrpl35
MRPL36	Mrpl36
MRPL37	Mrpl37
MRPL38	Mrpl38
MRPL39	Mrpl39
MRPL4	Mrpl4
MRPL40	Mrpl40
MRPL43	Mrpl43
MRPL44	Mrpl44
MRPL46	Mrpl46
MRPL47	Mrpl47
MRPL48	Mrpl48
MRPL49	Mrpl49
MRPL50	Mrpl50
MRPL51	Mrpl51
MRPL52	Mrpl52
MRPL53	Mrpl53
MRPL54	Mrpl54
MRPL55	Mrpl55
MRPL9	Mrpl9
MRPS10	Mrps10
MRPS11	Mrps11
MRPS12	Mrps12
MRPS14	Mrps14
MRPS15	Mrps15
MRPS16	Mrps16
MRPS18A	Mrps18a
MRPS18B	Mrps18b
MRPS18C	Mrps18c
MRPS2	Mrps2
MRPS22	Mrps22
MRPS23	Mrps23
MRPS24	Mrps24
MRPS25	Mrps25
MRPS26	Mrps26
MRPS27	Mrps27
MRPS28	Mrps28
MRPS30	Mrps30
MRPS31	Mrps31
MRPS33	Mrps33
MRPS34	Mrps34
MRPS35	Mrps35
MRPS5	Mrps5
MRPS6	Mrps6
MRPS7	Mrps7
MRPS9	Mrps9
MRS2	Mrs2
MRTO4	Mrto4
MS4A1	Ms4a1
MS4A10	Ms4a10
MS4A13	Ms4a13
MS4A15	Ms4a15
MS4A2	Ms4a2
MS4A3	Ms4a3
MS4A5	Ms4a5
MS4A7	Ms4a7
MSC	Msc
MSGN1	Msgn1
MSH2	Msh2
MSH3	Msh3
MSH4	Msh4
MSH6	Msh6
MSI1	Msi1
MSI2	Msi2
MSL1	Msl1
MSL2	Msl2
MSLN	Msln
MSMB	Msmb
MSMP	Msmp
MSN	Msn
MSR1	Msr1
MSRA	Msra
MSRB2	Msrb2
MSRB3	Msrb3
MST1	Mst1
MST1R	Mst1r
MSTN	Mstn
MSTO1	Msto1
MSX1	Msx1
MSX2	Msx2
MT3	Mt3
MT4	Mt4
MTA1	Mta1
MTA2	Mta2
MTA3	Mta3
MTAP	Mtap
MTBP	Mtbp
MTCH1	Mtch1
MTCH2	Mtch2
MTCP1	Mtcp1
MTDH	Mtdh
MTERFD1	Mterfd1
MTERFD2	Mterfd2
MTERFD3	Mterfd3
MTF1	Mtf1
MTF2	Mtf2
MTFMT	Mtfmt
MTFR1	Mtfr1
MTHFD1	Mthfd1
MTHFD2	Mthfd2
MTHFD2L	Mthfd2l
MTHFR	Mthfr
MTHFSD	Mthfsd
MTIF2	Mtif2
MTIF3	Mtif3
MTL5	Mtl5
MTMR10	Mtmr10
MTMR11	Mtmr11
MTMR12	Mtmr12
MTMR14	Mtmr14
MTMR2	Mtmr2
MTMR3	Mtmr3
MTMR4	Mtmr4
MTMR6	Mtmr6
MTMR7	Mtmr7
MTMR9	Mtmr9
MTNR1A	Mtnr1a
MTNR1B	Mtnr1b
MTO1	Mto1
MTOR	Mtor
MTPAP	Mtpap
MTR	Mtr
MTRF1	Mtrf1
MTRF1L	Mtrf1l
MTRR	Mtrr
MTSS1	Mtss1
MTSS1L	Mtss1l
MTTP	Mttp
MTUS1	Mtus1
MTUS2	Mtus2
MTX1	Mtx1
MTX2	Mtx2
MTX3	Mtx3
MUC13	Muc13
MUC15	Muc15
MUC19	Muc19
MUC2	Muc2
MUC20	Muc20
MUC3A	Muc3
MUC5AC	Muc5ac
MUC6	Muc6
MUL1	Mul1
MUM1	Mum1
MUM1L1	Mum1l1
MURC	Murc
MUS81	Mus81
MUSK	Musk
MUSTN1	Mustn1
MUT	Mut
MUTYH	Mutyh
MVD	Mvd
MVK	Mvk
MVP	Mvp
MXD1	Mxd1
MXD3	Mxd3
MXD4	Mxd4
MXI1	Mxi1
MXRA7	Mxra7
MXRA8	Mxra8
MYADML2	Myadml2
MYB	Myb
MYBBP1A	Mybbp1a
MYBL1	Mybl1
MYBL2	Mybl2
MYBPC1	Mybpc1
MYBPC2	Mybpc2
MYBPC3	Mybpc3
MYBPH	Mybph
MYBPHL	Mybphl
MYCBP	Mycbp
MYCBP2	Mycbp2
MYCBPAP	Mycbpap
MYCL1	Mycl1
MYCT1	Myct1
MYD88	Myd88
MYEOV2	Myeov2
MYF5	Myf5
MYF6	Myf6
MYH1	Myh1
MYH10	Myh10
MYH11	Myh11
MYH13	Myh13
MYH14	Myh14
MYH2	Myh2
MYH3	Myh3
MYH4	Myh4
MYH6	Myh6
MYH7	Myh7
MYH7B	Myh7b
MYH8	Myh8
MYH9	Myh9
MYL1	Myl1
MYL10	Myl10
MYL2	Myl2
MYL3	Myl3
MYL4	Myl4
MYL6B	Myl6b
MYL7	Myl7
MYL9	Myl9
MYLIP	Mylip
MYLK	Mylk
MYLK2	Mylk2
MYLK3	Mylk3
MYLK4	Mylk4
MYLPF	Mylpf
MYNN	Mynn
MYO10	Myo10
MYO15A	Myo15
MYO15B	Myo15b
MYO16	Myo16
MYO18A	Myo18a
MYO18B	Myo18b
MYO19	Myo19
MYO1A	Myo1a
MYO1B	Myo1b
MYO1C	Myo1c
MYO1D	Myo1d
MYO1E	Myo1e
MYO1F	Myo1f
MYO1G	Myo1g
MYO3A	Myo3a
MYO5A	Myo5a
MYO5B	Myo5b
MYO5C	Myo5c
MYO6	Myo6
MYO7A	Myo7a
MYO7B	Myo7b
MYO9A	Myo9a
MYO9B	Myo9b
MYOC	Myoc
MYOCD	Myocd
MYOD1	Myod1
MYOF	Myof
MYOG	Myog
MYOM1	Myom1
MYOM2	Myom2
MYOM3	Myom3
MYOT	Obscn
MYOZ1	Myoz1
MYOZ2	Myoz2
MYOZ3	Myoz3
MYPOP	Mypop
MYRIP	Myrip
MYSM1	Mysm1
MYT1	Myt1
MYT1L	Myt1l
MZF1	Mzf1
MZT1	Mzt1
N4BP1	N4bp1
N4BP2	N4bp2
N4BP2L1	N4bp2l1
N4BP3	N4bp3
N6AMT1	N6amt1
N6AMT2	N6amt2
NAA10	Naa10
NAA15	Naa15
NAA16	Naa16
NAA20	Naa20
NAA25	Naa25
NAA30	Naa30
NAA35	Naa35
NAA38	Naa38
NAA40	Naa40
NAA50	Naa50
NAAA	Naaa
NAALAD2	Naalad2
NAALADL1	Naaladl1
NAB1	Nab1
NAB2	Nab2
NACAD	Nacad
NACC1	Nacc1
NACC2	Nacc2
NADK	Nadk
NADSYN1	Nadsyn1
NAE1	Nae1
NAF1	Naf1
NAGA	Naga
NAGK	Nagk
NAGLU	Naglu
NAGPA	Nagpa
NAGS	Nags
NAIF1	Naif1
NANOS1	Nanos1
NANOS2	Nanos2
NANOS3	Nanos3
NANS	Nans
NAP1L1	Nap1l1
NAP1L3	Nap1l3
NAP1L4	Nap1l4
NAP1L5	Nap1l5
NAPA	Napa
NAPB	Napb
NAPEPLD	Napepld
NAPG	Napg
NAPRT1	Naprt1
NAPSA	Napsa
NARF	Narf
NARFL	Narfl
NARG2	Narg2
NARS	Nars
NARS2	Nars2
NASP	Nasp
NAT10	Nat10
NAT14	Nat14
NAT6	Nat6
NAT8L	Nat8l
NAT9	Nat9
NAV1	Nav1
NAV2	Nav2
NAV3	Nav3
NBAS	Nbas
NBEA	Nbea
NBEAL1	Nbeal1
NBEAL2	Nbeal2
NBL1	Nbl1
NBN	Nbn
NBR1	Nbr1
NCALD	Ncald
NCAM1	Ncam1
NCAM2	Ncam2
NCAN	Ncan
NCAPD2	Ncapd2
NCAPD3	Ncapd3
NCAPG	Ncapg
NCAPG2	Ncapg2
NCAPH	Ncaph
NCBP1	Ncbp1
NCCRP1	Nccrp1
NCDN	Ncdn
NCEH1	Nceh1
NCF1	Ncf1
NCF2	Ncf2
NCF4	Ncf4
NCK1	Nck1
NCK2	Nck2
NCKAP1	Nckap1
NCKAP1L	Nckap1l
NCKIPSD	Nckipsd
NCL	Ncl
NCLN	Ncln
NCOA1	Ncoa1
NCOA2	Ncoa2
NCOA3	Ncoa3
NCOA4	Ncoa4
NCOA5	Ncoa5
NCOA6	Ncoa6
NCOA7	Ncoa7
NCOR2	Ncor2
NCR1	Ncr1
NCSTN	Ncstn
NDC80	Ndc80
NDE1	Nde1
NDEL1	Ndel1
NDFIP1	Ndfip1
NDFIP2	Ndfip2
NDN	Ndn
NDNL2	Ndnl2
NDOR1	Ndor1
NDP	Ndp
NDRG1	Ndrg1
NDRG2	Ndrg2
NDRG3	Ndrg3
NDRG4	Ndrg4
NDST1	Ndst1
NDST2	Ndst2
NDST3	Ndst3
NDST4	Ndst4
NDUFA1	Ndufa1
NDUFA10	Ndufa10
NDUFA11	Ndufa11
NDUFA12	Ndufa12
NDUFA13	Ndufa13
NDUFA2	Ndufa2
NDUFA3	Ndufa3
NDUFA4	Ndufa4
NDUFA4L2	Ndufa4l2
NDUFA5	Ndufa5
NDUFA6	Ndufa6
NDUFA7	Ndufa7
NDUFA8	Ndufa8
NDUFA9	Ndufa9
NDUFAB1	Ndufab1
NDUFAF1	Ndufaf1
NDUFAF2	Ndufaf2
NDUFAF3	Ndufaf3
NDUFAF4	Ndufaf4
NDUFB10	Ndufb10
NDUFB2	Ndufb2
NDUFB3	Ndufb3
NDUFB4	Ndufb4
NDUFB5	Ndufb5
NDUFB6	Ndufb6
NDUFB7	Ndufb7
NDUFB9	Ndufb9
NDUFC1	Ndufc1
NDUFC2	Ndufc2
NDUFS1	Ndufs1
NDUFS2	Ndufs2
NDUFS3	Ndufs3
NDUFS4	Ndufs4
NDUFS5	Ndufs5
NDUFS6	Ndufs6
NDUFS7	Ndufs7
NDUFS8	Ndufs8
NDUFV1	Ndufv1
NDUFV3	Ndufv3
NEB	Neb
NEBL	Nebl
NECAB1	Necab1
NECAB2	Necab2
NECAB3	Necab3
NECAP1	Necap1
NECAP2	Necap2
NEDD1	Nedd1
NEDD4	Nedd4
NEDD4L	Nedd4l
NEDD8	Nedd8
NEDD9	Nedd9
NEFH	Nefh
NEFM	Nefm
NEGR1	Negr1
NEIL1	Neil1
NEIL2	Neil2
NEIL3	Neil3
NEK1	Nek1
NEK10	Nek10
NEK11	Nek11
NEK2	Nek2
NEK3	Nek3
NEK4	Nek4
NEK5	Nek5
NEK6	Nek6
NEK7	Nek7
NEK8	Nek8
NEK9	Nek9
NELL1	Nell1
NELL2	Nell2
NENF	Nenf
NEO1	Neo1
NES	Nes
NET1	Net1
NETO1	Neto1
NETO2	Neto2
NEU1	Neu1
NEU2	Neu2
NEU3	Neu3
NEU4	Neu4
NEURL	Neurl1a
NEURL2	Neurl2
NEURL4	Neurl4
NEUROD1	Neurod1
NEUROD2	Neurod2
NEUROD4	Neurod4
NEUROD6	Neurod6
NEUROG1	Neurog1
NEUROG2	Neurog2
NEUROG3	Neurog3
NEXN	Nexn
NF2	Nf2
NFAM1	Nfam1
NFASC	Nfasc
NFAT5	Nfat5
NFATC1	Nfatc1
NFATC2	Nfatc2
NFATC2IP	Nfatc2ip
NFATC3	Nfatc3
NFATC4	Nfatc4
NFE2	Nfe2
NFE2L1	Nfe2l1
NFE2L2	Nfe2l2
NFE2L3	Nfe2l3
NFIA	Nfia
NFIB	Nfib
NFIC	Nfic
NFIL3	Nfil3
NFIX	Nfix
NFKB1	Nfkb1
NFKB2	Nfkb2
NFKBIA	Nfkbia
NFKBIB	Nfkbib
NFKBID	Nfkbid
NFKBIE	Nfkbie
NFKBIL1	Nfkbil1
NFKBIZ	Nfkbiz
NFRKB	Nfrkb
NFS1	Nfs1
NFU1	Nfu1
NFX1	Nfx1
NFXL1	Nfxl1
NFYA	Nfya
NFYB	Nfyb
NFYC	Nfyc
NGB	Ngb
NGDN	Ngdn
NGEF	Ngef
NGF	Ngf
NGFRAP1	Ngfrap1
NGLY1	Ngly1
NHEJ1	Nhej1
NHLH1	Nhlh1
NHLH2	Nhlh2
NHLRC1	Nhlrc1
NHLRC2	Nhlrc2
NHLRC3	Nhlrc3
NHP2	Nhp2
NHS	Nhs
NHSL1	Nhsl1
NHSL2	Nhsl2
NICN1	Nicn1
NID1	Nid1
NID2	Nid2
NIF3L1	Nif3l1
NIN	Nin
NINJ1	Ninj1
NINJ2	Ninj2
NINL	Ninl
NIP7	Nip7
NIPA1	Nipa1
NIPA2	Nipa2
NIPAL1	Nipal1
NIPAL2	Nipal2
NIPAL3	Nipal3
NIPAL4	Nipal4
NIPBL	Nipbl
NIPSNAP1	Nipsnap1
NISCH	Nisch
NIT1	Nit1
NIT2	Nit2
NKAIN1	Nkain1
NKAIN3	Nkain3
NKAIN4	Nkain4
NKAP	Nkap
NKAPL	Nkapl
NKD1	Nkd1
NKD2	Nkd2
NKG7	Nkg7
NKIRAS1	Nkiras1
NKIRAS2	Nkiras2
NKPD1	Nkpd1
NKRF	Nkrf
NKTR	Nktr
NKX2-1	Nkx2-1
NKX2-2	Nkx2-2
NKX2-3	Nkx2-3
NKX2-4	Nkx2-4
NKX2-5	Nkx2-5
NKX2-6	Nkx2-6
NKX2-8	Nkx2-9
NKX3-1	Nkx3-1
NKX3-2	Nkx3-2
NKX6-1	Nkx6-1
NKX6-2	Nkx6-2
NKX6-3	Nkx6-3
NLE1	Nle1
NLGN1	Nlgn1
NLGN2	Nlgn2
NLGN3	Nlgn3
NLK	Nlk
NLN	Nln
NLRC3	Nlrc3
NLRC4	Nlrc4
NLRP10	Nlrp10
NLRP14	Nlrp14
NLRP3	Nlrp3
NLRP6	Nlrp6
NLRX1	Nlrx1
NMB	Nmb
NMBR	Nmbr
NMD3	Nmd3
NME1	Nme1
NME3	Nme3
NME4	Nme4
NME5	Nme5
NME6	Nme6
NME7	Nme7
NMI	Nmi
NMNAT1	Nmnat1
NMNAT2	Nmnat2
NMNAT3	Nmnat3
NMRAL1	Nmral1
NMS	Nms
NMT1	Nmt1
NMT2	Nmt2
NMU	Nmu
NMUR1	Nmur1
NMUR2	Nmur2
NNAT	Nnat
NNMT	Nnmt
NNT	Nnt
NOB1	Nob1
NOBOX	Nobox
NOC3L	Noc3l
NOC4L	Noc4l
NOD1	Nod1
NOD2	Nod2
NODAL	Nodal
NOG	Nog
NOL10	Nol10
NOL11	Nol11
NOL12	Nol12
NOL3	Nol3
NOL4	Nol4
NOL6	Nol6
NOL7	Nol7
NOL8	Nol8
NOL9	Nol9
NOLC1	Nolc1
NOM1	Nom1
NONO	Nono
NOP14	Nop14
NOP16	Nop16
NOP2	Nop2
NOP56	Nop56
NOP58	Nop58
NOS1	Nos1
NOS1AP	Nos1ap
